team,squad_number,name
Ballymena United FC,33,Jake Hirthe
Ballymena United FC,16,Matthew Clarke
Ballymena United FC,3,Micheál Glynn
Ballymena United FC,2,David Toure
Ballymena United FC,6,Fuad Sule
Ballymena United FC,21,James Hood
Ballymena United FC,12,Donal Rocks
Ballymena United FC,28,Tom Duffin
Ballymena United FC,8,Josh Archer
Ballymena United FC,10,Charlie Allen
Ballymena United FC,18,Sean Murray
Ballymena United FC,20,Stephen Fallon
Ballymena United FC,29,Owen Mahoney
Ballymena United FC,14,Andy Scott
Ballymena United FC,11,Ben Kennedy
Ballymena United FC,24,Caoimhin McConnell
Ballymena United FC,17,Michael Leetch
Ballymena United FC,31,Alex Houston
Ballymena United FC,22,Success Edogun
Ballymena United FC,7,Chris McKee
Ballymena United FC,9,Igor Rutkowski
Cliftonville FC,31,PJ Morrison
Cliftonville FC,1,Lewis Ridd
Cliftonville FC,35,Matthew Belshaw
Cliftonville FC,25,Alex Bannon
Cliftonville FC,12,Shaun Leppard
Cliftonville FC,24,Aidan Kelly
Cliftonville FC,15,Kyle McClelland
Cliftonville FC,4,Dan O'Connor
Cliftonville FC,17,Joel Thompson
Cliftonville FC,14,Luke Conlan
Cliftonville FC,3,Ollie Samuels
Cliftonville FC,33,Sean Cassidy
Cliftonville FC,2,Aaron Wightman
Cliftonville FC,34,Paul Stanfield
Cliftonville FC,40,David Green
Cliftonville FC,6,Harry Wilson
Cliftonville FC,16,Dean McMaster
Cliftonville FC,41,Joe Sheridan
Cliftonville FC,42,Adebayo Fapetu
Cliftonville FC,8,Rory Hale
Cliftonville FC,38,Alfie Anderson
Cliftonville FC,36,Keevan Hawthorne
Cliftonville FC,27,Liam McStravick
Cliftonville FC,7,Rhyss Campbell
Cliftonville FC,20,Ben Quinn
Cliftonville FC,43,Cillian Murray
Cliftonville FC,10,Brian Healy
Cliftonville FC,19,Joe Gormley
Cliftonville FC,9,Ryan Curran
Cliftonville FC,32,Eric McWoods
Cliftonville FC,37,Ryan Corrigan
Bangor FC,1,Gareth Deane
Bangor FC,13,Patrick Solis Grogan
Bangor FC,27,Lawton McMahon
Bangor FC,17,Harry Lynch
Bangor FC,28,Stephen McGuinness
Bangor FC,19,Lewis Francis
Bangor FC,35,Alfie Mitchell
Bangor FC,3,Reece Neale
Bangor FC,29,Iestyn Hughes
Bangor FC,2,Caomhan McGuinness
Bangor FC,8,Tiernan Mulvenna
Bangor FC,24,Oisin Devlin
Bangor FC,22,Ross Ferguson
Bangor FC,7,Liam Hassin
Bangor FC,15,Jack O'Mahony
Bangor FC,6,Lewis Harrison
Bangor FC,30,Liam Burns
Bangor FC,9,Ben Arthurs
Bangor FC,10,Ben Cushnie
Bangor FC,25,Mick Morgan
Bangor FC,21,Jay Boyd
Bangor FC,34,Blake Matier
Carrick Rangers FC,1,Nathan Gartside
Carrick Rangers FC,13,Scott Pengelly
Carrick Rangers FC,30,Caleb Hawthorne
Carrick Rangers FC,12,Luke McCullough
Carrick Rangers FC,6,Jimmy Callacher
Carrick Rangers FC,5,Cian O'Malley
Carrick Rangers FC,15,Ben Buchanan-Rolleston
Carrick Rangers FC,2,Mikey Place
Carrick Rangers FC,4,Billy Joe Burns
Carrick Rangers FC,14,Aidan Steele
Carrick Rangers FC,19,Joe Crowe
Carrick Rangers FC,5,Jordan Forsythe
Carrick Rangers FC,24,Matthew Snoddy
Carrick Rangers FC,20,Kyle Cherry
Carrick Rangers FC,8,Seanan Clucas
Carrick Rangers FC,22,Paul Heatley
Carrick Rangers FC,7,Daire O'Connor
Carrick Rangers FC,17,Joe Moore
Carrick Rangers FC,9,Danny Gibson
Carrick Rangers FC,11,Nedas Maciulaitis
Carrick Rangers FC,10,Adam Lecky
Carrick Rangers FC,23,Jack Hastings
Portadown FC,1,Aaron McCarey
Portadown FC,40,Alex Moore
Portadown FC,5,Lewis MacKinnon
Portadown FC,4,Baris Altintop
Portadown FC,18,Aaron Traynor
Portadown FC,7,Lee Chapman
Portadown FC,2,Divin Isamala
Portadown FC,22,Jack Scott
Portadown FC,6,Luke Wilson
Portadown FC,21,Rabby Tabu Minzamba
Portadown FC,26,Gary Thompson
Portadown FC,35,Joe McKay
Portadown FC,28,Adhamh Towe
Portadown FC,36,Damian Traczykowski
Portadown FC,19,James Teelan
Portadown FC,77,Rayhaan Tulloch
Portadown FC,13,Eamon Fyfe
Portadown FC,20,Ahu Obhakhan
Crusaders FC,31,Rian Brown
Crusaders FC,1,Shea Callister
Crusaders FC,43,Lewis Barr
Crusaders FC,4,Jacob Blaney
Crusaders FC,5,Scot Rough
Crusaders FC,3,Graham Kelly
Crusaders FC,24,Leon Barr
Crusaders FC,22,Ryan McKay
Crusaders FC,22,Cammy Bruce
Crusaders FC,28,Jonny James
Crusaders FC,2,Kurtis Forsythe
Crusaders FC,16,Josh Williamson
Crusaders FC,6,Robbie Weir
Crusaders FC,10,Finley Thorndike
Crusaders FC,23,Oilibhéar McCart
Crusaders FC,8,Harry Jewitt-White
Crusaders FC,12,Jack Doherty
Crusaders FC,64,Matthew Beattie
Crusaders FC,7,Kieran McKechnie
Crusaders FC,15,Owen Wardell
Crusaders FC,42,Lloyd Anderson
Crusaders FC,11,Elliot Dunlop
Crusaders FC,27,Tom Maguire
Crusaders FC,26,Ryan Donnelly
Crusaders FC,9,Adam Brooks
Crusaders FC,18,Aaron Reid
Crusaders FC,21,Stewart Nixon
Crusaders FC,17,Karter Bond
Crusaders FC,20,Michael Mulholland
Limavady United FC,31,Marty Gallagher
Limavady United FC,27,Fintan Doherty
Limavady United FC,4,Kieran Farren
Limavady United FC,19,Rodney Brown
Limavady United FC,24,Adam Mullan
Limavady United FC,5,Tiarnan Boorman
Limavady United FC,6,Jack Mullan
Limavady United FC,3,Matty Walker
Limavady United FC,2,Jay Riley
Limavady United FC,8,Stephen Lowry
Limavady United FC,7,Philip Lowry
Limavady United FC,16,Ruairi Boorman
Limavady United FC,11,Lewis Tosh
Limavady United FC,14,Connor McCloskey
Limavady United FC,23,Jake Martin
Limavady United FC,33,Michael Harris
Limavady United FC,17,John Butcher
Bangor FC,1,Gareth Deane
Bangor FC,13,Patrick Solis Grogan
Bangor FC,27,Lawton McMahon
Bangor FC,17,Harry Lynch
Bangor FC,28,Stephen McGuinness
Bangor FC,19,Lewis Francis
Bangor FC,35,Alfie Mitchell
Bangor FC,3,Reece Neale
Bangor FC,29,Iestyn Hughes
Bangor FC,2,Caomhan McGuinness
Bangor FC,8,Tiernan Mulvenna
Bangor FC,24,Oisin Devlin
Bangor FC,22,Ross Ferguson
Bangor FC,7,Liam Hassin
Bangor FC,15,Jack O'Mahony
Bangor FC,6,Lewis Harrison
Bangor FC,30,Liam Burns
Bangor FC,9,Ben Arthurs
Bangor FC,10,Ben Cushnie
Bangor FC,25,Mick Morgan
Bangor FC,21,Jay Boyd
Bangor FC,34,Blake Matier
